iter	Passed	Remaining
0	19	3824
1	36	3622
2	53	3522
3	72	3542
4	90	3518
5	108	3523
6	127	3506
7	145	3492
8	167	3559
9	193	3683
10	217	3743
11	241	3777
12	260	3745
13	281	3742
14	300	3710
15	318	3661
16	336	3623
17	356	3603
18	377	3595
19	400	3608
20	419	3579
21	438	3546
22	456	3516
23	474	3481
24	493	3452
25	511	3421
26	529	3391
27	546	3359
28	564	3327
29	582	3298
30	599	3268
31	617	3244
32	636	3219
33	653	3191
34	671	3163
35	688	3138
36	706	3113
37	725	3090
38	743	3069
39	761	3046
40	779	3023
41	799	3007
42	817	2984
43	836	2966
44	852	2937
45	867	2903
46	882	2874
47	900	2851
48	908	2799
49	917	2753
50	932	2725
51	940	2678
52	947	2628
53	954	2581
54	961	2534
55	968	2490
56	976	2449
57	983	2408
58	991	2368
59	997	2327
60	1003	2287
61	1011	2251
62	1018	2213
63	1025	2179
64	1033	2146
65	1042	2115
66	1049	2083
67	1056	2050
68	1063	2018
69	1070	1988
70	1077	1958
71	1084	1928
72	1092	1900
73	1099	1872
74	1106	1843
75	1114	1817
76	1121	1790
77	1129	1765
78	1135	1739
79	1144	1716
80	1151	1691
81	1158	1667
82	1169	1648
83	1183	1633
84	1194	1616
85	1206	1598
86	1218	1582
87	1228	1563
88	1238	1544
89	1247	1524
90	1258	1507
91	1268	1489
92	1279	1472
93	1287	1451
94	1294	1430
95	1301	1409
96	1309	1390
97	1316	1370
98	1324	1351
99	1332	1332
100	1339	1313
101	1347	1294
102	1355	1276
103	1361	1256
104	1369	1239
105	1377	1221
106	1385	1204
107	1391	1185
108	1398	1167
109	1405	1150
110	1412	1132
111	1419	1115
112	1427	1098
113	1435	1082
114	1442	1066
115	1450	1050
116	1456	1033
117	1464	1017
118	1471	1001
119	1477	984
120	1484	969
121	1491	953
122	1498	937
123	1505	922
124	1511	906
125	1518	891
126	1525	876
127	1532	862
128	1540	847
129	1548	833
130	1554	818
131	1561	804
132	1569	790
133	1577	776
134	1586	763
135	1594	750
136	1602	736
137	1610	723
138	1617	710
139	1626	697
140	1635	684
141	1643	671
142	1650	658
143	1658	645
144	1666	631
145	1673	618
146	1680	605
147	1687	592
148	1693	579
149	1700	566
150	1707	553
151	1714	541
152	1721	528
153	1729	516
154	1736	504
155	1744	492
156	1751	479
157	1760	467
158	1768	455
159	1776	444
160	1782	431
161	1789	419
162	1797	407
163	1805	396
164	1812	384
165	1820	372
166	1829	361
167	1837	349
168	1844	338
169	1851	326
170	1858	315
171	1866	303
172	1875	292
173	1883	281
174	1892	270
175	1901	259
176	1909	248
177	1918	237
178	1924	225
179	1932	214
180	1938	203
181	1946	192
